"","value","method"
"Recall7",1,"dbscan_filter_method2"
"F17",1,"dbscan_filter_method2"
"Prevalence7",0.99,"dbscan_filter_method2"
"Detection Rate7",0.99,"dbscan_filter_method2"
"Detection Prevalence7",0.99,"dbscan_filter_method2"
"Balanced Accuracy7",1,"dbscan_filter_method2"
"Sensitivity8",1,"dbscan_filter_method3"
"Specificity8",1,"dbscan_filter_method3"
"Pos Pred Value8",1,"dbscan_filter_method3"
"Neg Pred Value8",1,"dbscan_filter_method3"
"Precision8",1,"dbscan_filter_method3"
"Recall8",1,"dbscan_filter_method3"
"F18",1,"dbscan_filter_method3"
"Prevalence8",0.99,"dbscan_filter_method3"
"Detection Rate8",0.99,"dbscan_filter_method3"
"Detection Prevalence8",0.99,"dbscan_filter_method3"
"Balanced Accuracy8",1,"dbscan_filter_method3"
"Sensitivity9",1,"autoencode_filter_method1"
"Specificity9",0.333333333333333,"autoencode_filter_method1"
"Pos Pred Value9",0.97979797979798,"autoencode_filter_method1"
"Neg Pred Value9",1,"autoencode_filter_method1"
"Precision9",0.97979797979798,"autoencode_filter_method1"
"Recall9",1,"autoencode_filter_method1"
"F19",0.989795918367347,"autoencode_filter_method1"
"Prevalence9",0.97,"autoencode_filter_method1"
"Detection Rate9",0.97,"autoencode_filter_method1"
"Detection Prevalence9",0.99,"autoencode_filter_method1"
"Balanced Accuracy9",0.666666666666667,"autoencode_filter_method1"
"Sensitivity10",1,"autoencode_filter_method2"
"Specificity10",0.1,"autoencode_filter_method2"
"Pos Pred Value10",0.909090909090909,"autoencode_filter_method2"
"Neg Pred Value10",1,"autoencode_filter_method2"
"Precision10",0.909090909090909,"autoencode_filter_method2"
"Recall10",1,"autoencode_filter_method2"
"F110",0.952380952380952,"autoencode_filter_method2"
"Prevalence10",0.9,"autoencode_filter_method2"
"Detection Rate10",0.9,"autoencode_filter_method2"
"Detection Prevalence10",0.99,"autoencode_filter_method2"
"Balanced Accuracy10",0.55,"autoencode_filter_method2"
"Sensitivity11",1,"autoencode_filter_method3"
"Specificity11",1,"autoencode_filter_method3"
"Pos Pred Value11",1,"autoencode_filter_method3"
"Neg Pred Value11",1,"autoencode_filter_method3"
"Precision11",1,"autoencode_filter_method3"
"Recall11",1,"autoencode_filter_method3"
"F111",1,"autoencode_filter_method3"
"Prevalence11",0.99,"autoencode_filter_method3"
"Detection Rate11",0.99,"autoencode_filter_method3"
"Detection Prevalence11",0.99,"autoencode_filter_method3"
"Balanced Accuracy11",1,"autoencode_filter_method3"
